   	   	   	   	   	   	  	@ 	#   	monitoringRefs 	isTerminus 	slugName                              	displayName                             	prevStops                             	nextStops                                                  	lineConnections
   	   	   	   	   	   	* 	@ 	 86 	         41305 	         0 	saint-michel-sur-orge                 	Saint-Michel-sur-Orge                   	sainte-genevieve-des-bois             	bretigny                                                   	
   	   	   	   	   	   	* 	@ 	 87 	         41304 	         1 	bretigny                              	Brétigny                                	saint-michel-sur-orge                 	la-norville-saint-germain-les-arpajon;marolles-en-hurepoix 	
   	   	   	   	   	/. 	| 	@ 	 88 	               	           	                                      	                                        	                                      	                                                           	
   	   	   	/o 	|  	|  	| 	@ 	 89 	               	           	                                      	                                        	                                      	                                                           	
   	   	   	|  	./ 	   	| 	@ 	 90 	               	           	                                      	                                        	                                      	                                                           	
   	   	   	*  	   	   	| 	@ 	 91 	         41317 	         0 	la-norville-saint-germain-les-arpajon 	La Norville – Saint-Germain-lès-Arpajon 	bretigny                              	arpajon                                                    	
   	   	   	*  	   	   	| 	@ 	 92 	         41318 	         0 	arpajon                               	Arpajon                                 	la-norville-saint-germain-les-arpajon 	egly                                                       	
   	   	   	*  	   	   	| 	@ 	 93 	         41319 	         0 	egly                                  	Égly                                    	arpajon                               	breuillet-bruyeres-le-chatel                               	
   	   	   	*  	   	   	| 	@ 	 94 	         41320 	         0 	breuillet-bruyeres-le-chatel          	Breuillet – Bruyères-le-Châtel          	egly                                  	breuillet-village                                          	
   	   	   	*  	   	   	| 	@ 	 95 	         41321 	         0 	breuillet-village                     	Breuillet–Village                       	breuillet-bruyeres-le-chatel          	saint-cheron                                               	
   	   	   	*  	   	   	| 	@ 	 96 	         41322 	         0 	saint-cheron                          	Saint-Chéron                            	breuillet-village                     	sermaise                                                   	
   	   	   	*  	   	   	| 	@ 	 97 	         41323 	         0 	sermaise                              	Sermaise                                	saint-cheron                          	dourdan                                                    	
   	   	   	*  	   	   	| 	@ 	 98 	         41324 	         1 	dourdan                               	Dourdan                                 	sermaise                              	dourdan-la-foret                                           	
   	   	   	*  	   	   	| 	@ 	 99 	         41292 	         1 	dourdan-la-foret                      	Dourdan – La Forêt                      	dourdan                               	                                                           	
   	   	   	v  	   	   	| 	@ 	100 	               	           	                                      	                                        	                                      	                                                           	
   	   	   	   	   	   	* 	@ 	101 	         41303 	         0 	marolles-en-hurepoix                  	Marolles-en-Hurepoix                    	bretigny                              	bouray                                                     	
   	   	   	   	   	   	* 	@ 	102 	         41302 	         0 	bouray                                	Bouray                                  	marolles-en-hurepoix                  	lardy                                                      	
   	   	   	   	   	   	* 	@ 	103 	         41301 	         0 	lardy                                 	Lardy                                   	bouray                                	chamarande                                                 	
   	   	   	   	   	   	* 	@ 	104 	         41300 	         0 	chamarande                            	Chamarande                              	lardy                                 	etrechy                                                    	
   	   	   	   	   	   	* 	@ 	105 	         41299 	         0 	etrechy                               	Étréchy                                 	chamarande                            	etampes                                                    	
   	   	   	   	   	   	* 	@ 	106 	         41298 	         1 	etampes                               	Étampes                                 	etrechy                               	saint-martin-d-etampes                                     	
   	   	   	   	   	   	* 	@ 	107 	         41316 	         1 	saint-martin-d-etampes                	Saint-Martin-d'Étampes                  	etampes                               	                                                           	
   	   	   	   	   	   	v 	@ 	108 	               	           	                                      	                                        	                                      	                                                           	
